Canzone,Parola,Conteggio
Caparezza - El Sendero,alegría,12
Caparezza - El Sendero,e,11
CapaRezza - Epocalisse,questo,26
CapaRezza - Epocalisse,secolo,26
CapaRezza - Epocalisse,è,48
CapaRezza - Epocalisse,la,52
CapaRezza - Epocalisse,fine,43
CapaRezza - Epocalisse,del,43
CapaRezza - Epocalisse,mondo,43
CapaRezza - Epocalisse,di,11
CapaRezza - Epocalisse,gesù,12
CapaRezza - Epocalisse,yahoo,12
Caparezza - Eroe (Storia di luigi delle bicocche),a,11
Caparezza - Eroe (Storia di luigi delle bicocche),eroe,20
Caparezza - Eroe (Storia di luigi delle bicocche),un,25
Caparezza - Eroe (Storia di luigi delle bicocche),sono,25
Caparezza - Eroe (Storia di luigi delle bicocche),perché,13
Caparezza - Eterno paradosso,vivo,31
Caparezza - Eterno paradosso,un,23
Caparezza - Eterno paradosso,paradosso,27
Caparezza - Eterno paradosso,a,15
Caparezza - Exuvia,di,16
Caparezza - Exuvia,il,13
Caparezza - Exuvia,exuvia,12
Caparezza - Eyes Wide Shut,di,15
Caparezza - Eyes Wide Shut,non,16
Caparezza - Eyes Wide Shut,un,11
Caparezza - Eyes Wide Shut,la,14
Caparezza - Fai da tela,la,15
Caparezza - Fai da tela,di,12
Caparezza - Fai da tela,come,21
CapaRezza - Felici ma trimoni,che,22
CapaRezza - Felici ma trimoni,e,17
CapaRezza - Felici ma trimoni,la,17
CapaRezza - Felici ma trimoni,ma,33
CapaRezza - Felici ma trimoni,di,16
CapaRezza - Felici ma trimoni,siate,24
CapaRezza - Felici ma trimoni,felici,25
CapaRezza - Felici ma trimoni,trimoni,24
Caparezza - Figli d'arte,che,12
Caparezza - Figli d'arte,mi,16
Caparezza - Figli d'arte,non,19
Caparezza - Figli d'arte,uomo,13
Caparezza - Figli d'arte,ama,12
Caparezza - Follie Preferenziali,uomini,35
Caparezza - Follie Preferenziali,di,39
Caparezza - Follie Preferenziali,il,11
Caparezza - Follie Preferenziali,preferisco,34
Caparezza - Forever Jung,the,11
Caparezza - Forever Jung,jung,37
Caparezza - Forever Jung,forever,33
Caparezza - Fuck the Violenza,è,15
Caparezza - Fuck the Violenza,che,14
Caparezza - Fuck the Violenza,ti,12
Caparezza - Fuck the Violenza,di,11
Caparezza - Fuck the Violenza,al,11
Caparezza - Fuck the Violenza,se,27
Caparezza - Fuck the Violenza,fuck,24
Caparezza - Fuck the Violenza,the,24
Caparezza - Fuck the Violenza,violenza,24
Caparezza - Fuck the Violenza,put,16
Caparezza - Fuck the Violenza,your,16
Caparezza - Fugadà,non,14
Caparezza - Fugadà,in,51
Caparezza - Fugadà,fuga,49
Caparezza - Fugadà,da,47
Caparezza - Fugadà,la,12
Caparezza - Fugadà,come,13
Caparezza - Fugadà,sono,13
Caparezza - Fuori dal Tunnel,sono,15
Caparezza - Fuori dal Tunnel,di,23
Caparezza - Fuori dal Tunnel,e,22
Caparezza - Fuori dal Tunnel,mi,15
Caparezza - Fuori dal Tunnel,che,12
Caparezza - Fuori dal Tunnel,la,12
Caparezza - Giotto Beat,la,19
Caparezza - Giotto Beat,una,11
Caparezza - Giotto Beat,di,19
Caparezza - Giotto Beat,come,12
Caparezza - Giotto Beat,e,11
Caparezza - Giotto Beat,prospettiva,16
Caparezza - Giotto Beat,yeh,40
caparezza - giuda me,cavaliere,39
caparezza - giuda me,giù,86
caparezza - giuda me,da,25
caparezza - giuda me,me,20
caparezza - giuda me,di,20
caparezza - giuda me,non,12
caparezza - giuda me,che,11
caparezza - giuda me,è,16
caparezza - giuda me,e,12
Caparezza - Gli Insetti Del Podere,che,12
Caparezza - Gli Insetti Del Podere,e,13
Caparezza - Gli Insetti Del Podere,vieni,14
Caparezza - Gli Insetti Del Podere,a,23
Caparezza - Gli Insetti Del Podere,vedere,20
Caparezza - Gli Insetti Del Podere,i,11
Caparezza - Gli Insetti Del Podere,ti,14
Caparezza - Goodbye Malinconia,malincònia,15
Caparezza - Goodbye Malinconia,tutti,15
Caparezza - Goodbye Malinconia,in,18
Caparezza - Goodbye Malinconia,da,12
Caparezza - Goodbye Malinconia,se,12
Caparezza - Goodbye Malinconia,ne,16
Caparezza - Goodbye Malinconia,vanno,12
Caparezza - Goodbye Malinconia,goodbye,12
CapaRezza - Habemus Capa,è,12
CapaRezza - Habemus Capa,e,11
CapaRezza - Habemus Capa,non,12
CapaRezza - Habemus Capa,mi,11
CapaRezza - Habemus Capa,capa,14
CapaRezza - Habemus Capa,la,12
CapaRezza - Habemus Capa,habemus,12
Caparezza - House Credibility,e,22
Caparezza - House Credibility,di,14
Caparezza - House Credibility,casa,18
Caparezza - House Credibility,la,15
Caparezza - House Credibility,non,14
Caparezza - House Credibility,sono,12
Caparezza - House Credibility,vivo,12
Caparezza - House Credibility,nella,12
Caparezza - Il Circo Delle Pantegane,e,11
Caparezza - Il Circo Delle Pantegane,circo,13
Caparezza - Il Circo Delle Pantegane,delle,13
Caparezza - Il Circo Delle Pantegane,pantegane,13
Caparezza - Il Circo Delle Pantegane,come,16
Caparezza - Il Circo Delle Pantegane,di,13
Caparezza - Il Circo Delle Pantegane,la,21
Caparezza - Il Circo Delle Pantegane,chiedi,12
Caparezza - Il Circo Delle Pantegane,va,25
Caparezza - Il Circo Delle Pantegane,bene,12
Caparezza - Il Circo Delle Pantegane,vita,14
Caparezza - Il Circo Delle Pantegane,al,13
Caparezza - Il conflitto,in,17
Caparezza - Il conflitto,che,13
Caparezza - Il conflitto,se,16
Caparezza - Il conflitto,il,15
Caparezza - Il conflitto,la,15
Caparezza - Il conflitto,ai,13
Caparezza - Il conflitto,io,14
Caparezza - Il conflitto,conflitto,25
Caparezza - Il conflitto,fosse,12
Caparezza - Il conflitto,soluzione,12
Caparezza - Il conflitto,miei,12
Caparezza - Il conflitto,problemi,12
Caparezza - Il conflitto,sarei,12
Caparezza - Il conflitto,sempre,12
Caparezza - Il Dito Medio Di Galileo,ti,12
Caparezza - Il Dito Medio Di Galileo,e,14
Caparezza - Il Dito Medio Di Galileo,di,14
Caparezza - Il Dito Medio Di Galileo,galileo,21
Caparezza - Il Mondo Dopo Lewis Carroll,la,13
Caparezza - Il Mondo Dopo Lewis Carroll,non,11
Caparezza - Il Secondo Secondo Me,il,57
Caparezza - Il Secondo Secondo Me,secondo,24
Caparezza - Il Secondo Secondo Me,album,24
Caparezza - Il Secondo Secondo Me,è,27
Caparezza - Il Secondo Secondo Me,sempre,25
Caparezza - Il Secondo Secondo Me,più,28
Caparezza - Il Secondo Secondo Me,difficile,24
Caparezza - Il Secondo Secondo Me,carriera,11
Caparezza - Il Secondo Secondo Me,di,20
Caparezza - Il Secondo Secondo Me,un,20
Caparezza - Il Secondo Secondo Me,le,23
Caparezza - Il Secondo Secondo Me,che,12
Caparezza - Il Secondo Secondo Me,non,14
Caparezza - Il Silenzio Dei Colpevoli,come,16
Caparezza - Il Silenzio Dei Colpevoli,un,15
Caparezza - Il Silenzio Dei Colpevoli,che,16
Caparezza - Il Silenzio Dei Colpevoli,di,14
Caparezza - Il Silenzio Dei Colpevoli,la,21
Caparezza - Il Silenzio Dei Colpevoli,il,11
Caparezza - Il Silenzio Dei Colpevoli,è,12
Caparezza - Il Silenzio Dei Colpevoli,non,18
Caparezza - Il Silenzio Dei Colpevoli,parla,30
Caparezza - Il Testo Che Avrei Voluto Scrivere,scrivere,20
Caparezza - Il Testo Che Avrei Voluto Scrivere,un,15
Caparezza - Il Testo Che Avrei Voluto Scrivere,testo,14
Caparezza - Il Testo Che Avrei Voluto Scrivere,che,32
Caparezza - Il Testo Che Avrei Voluto Scrivere,non,19
Caparezza - Il Testo Che Avrei Voluto Scrivere,di,24
Caparezza - Il Testo Che Avrei Voluto Scrivere,e,12
Caparezza - Il Testo Che Avrei Voluto Scrivere,il,18
Caparezza - Il Testo Che Avrei Voluto Scrivere,a,14
Caparezza - Il Testo Che Avrei Voluto Scrivere,è,11
Caparezza - Ilaria condizionata,ilaria,17
Caparezza - Ilaria condizionata,di,14
Caparezza - Ilaria condizionata,la,16
Caparezza - Ilaria condizionata,ha,14
Caparezza - Ilaria condizionata,condizionata,12
Caparezza - Ilaria condizionata,raffreddato,12
Caparezza - Ilaria condizionata,mia,12
Caparezza - Ilaria condizionata,giornata,12
Caparezza - Inno Verdano,il,21
Caparezza - Inno Verdano,con,11
Caparezza - Inno Verdano,di,14
Caparezza - Inno Verdano,in,13
Caparezza - Inno Verdano,che,14
Caparezza - Inno Verdano,la,13
Caparezza - Inno Verdano,verdania,12
Caparezza - Inno Verdano,secessionista,21
Caparezza - Io diventerò qualcuno,qualcuno,14
Caparezza - Io diventerò qualcuno,non,21
Caparezza - Io diventerò qualcuno,di,21
Caparezza - Italia alita gli ani,capo,25
Caparezza - Italia alita gli ani,un,12
Caparezza - Italia alita gli ani,l,15
Caparezza - Italia alita gli ani,italia,18
Caparezza - Italia alita gli ani,alita,12
Caparezza - Italia alita gli ani,gli,12
Caparezza - Italia alita gli ani,ani,12
Caparezza - Jodellavitanonhocapitouncazzo,non,11
Caparezza - Jodellavitanonhocapitouncazzo,di,14
Caparezza - Jodellavitanonhocapitouncazzo,che,13
Caparezza - Jodellavitanonhocapitouncazzo,un,11
Caparezza - Jodellavitanonhocapitouncazzo,mi,11
Caparezza - KEVIN SPACEY,un,11
Caparezza - KEVIN SPACEY,di,12
Caparezza - KEVIN SPACEY,è,16
Caparezza - KEVIN SPACEY,il,13
Caparezza - KEVIN SPACEY,kevin,12
Caparezza - KEVIN SPACEY,spacey,12
Caparezza - Kitaro,ge,17
Caparezza - Kitaro,e,11
Caparezza - Kitaro,un,11
Caparezza - L'età dei figuranti,che,12
Caparezza - L'Infinto,che,12
Caparezza - L'Infinto,mi,11
Caparezza - L'Infinto,il,12
Caparezza - L'Infinto,e,12
Caparezza - L'Infinto,è,17
Caparezza - L'Infinto,di,13
Caparezza - L'Infinto,finto,16
Caparezza - L'Infinto,fintoooo,18
"Caparezza - L'ottavo, Capitolo",mi,23
"Caparezza - L'ottavo, Capitolo",sono,11
"Caparezza - L'ottavo, Capitolo",capitolo,12
Caparezza - L'Uomo Che Premette,premetto,18
Caparezza - L'Uomo Che Premette,che,34
Caparezza - L'Uomo Che Premette,non,19
Caparezza - L'Uomo Che Premette,sono,19
Caparezza - L'Uomo Che Premette,l,19
Caparezza - L'Uomo Che Premette,uomo,11
Caparezza - L'Uomo Che Premette,premette,15
Caparezza - L'Uomo Che Premette,bang,25
Caparezza - La Caduta Di Atlante,che,14
Caparezza - La Caduta Di Atlante,l,14
Caparezza - La Caduta Di Atlante,al,26
Caparezza - La Caduta Di Atlante,il,26
Caparezza - La Caduta Di Atlante,e,17
Caparezza - La Caduta Di Atlante,la,27
Caparezza - La Caduta Di Atlante,stretta,24
Caparezza - La Caduta Di Atlante,collo,24
Caparezza - La Certa,di,14
Caparezza - La Certa,la,14
Caparezza - La Certa,non,21
Caparezza - La Certa,pensami,12
Caparezza - La Certa,cercarmi,12
Caparezza - La Fine Di Gaia,gaia,21
Caparezza - La Fine Di Gaia,la,21
Caparezza - La Fine Di Gaia,di,22
Caparezza - La Fine Di Gaia,non,17
Caparezza - La Fine Di Gaia,che,11
Caparezza - La Fine Di Gaia,e,12
Caparezza - La Fitta Sassaiola Dell'Ingiuria,mi,21
Caparezza - La Fitta Sassaiola Dell'Ingiuria,che,20
Caparezza - La Fitta Sassaiola Dell'Ingiuria,mia,11
Caparezza - La Fitta Sassaiola Dell'Ingiuria,la,17
Caparezza - La gente originale,di,12
Caparezza - La gente originale,la,11
Caparezza - La gente originale,che,17
Caparezza - La gente originale,non,23
Caparezza - La gente originale,viva,18
Caparezza - La gente originale,e,14
Caparezza - La gente originale,yeah,12
Caparezza - La Ghigliottina,come,12
Caparezza - La Ghigliottina,la,29
Caparezza - La Ghigliottina,di,11
Caparezza - La Ghigliottina,non,30
Caparezza - La Ghigliottina,ti,12
Caparezza - La Ghigliottina,perdere,40
Caparezza - La Ghigliottina,testa,25
Caparezza - La Ghigliottina,devi,20
Caparezza - La grande opera,grande,15
Caparezza - La grande opera,opera,15
Caparezza - La grande opera,di,11
Caparezza - La grande opera,che,19
Caparezza - La grande opera,la,20
Caparezza - La grande opera,non,12
Caparezza - La legge dell'ortica,non,15
Caparezza - La legge dell'ortica,che,37
Caparezza - La legge dell'ortica,per,17
Caparezza - La legge dell'ortica,il,11
Caparezza - La legge dell'ortica,è,17
Caparezza - La legge dell'ortica,la,13
Caparezza - La Marchetta Di Popolino,ma,11
Caparezza - La Marchetta Di Popolino,figo,13
Caparezza - La Marchetta Di Popolino,sto,13
Caparezza - La Marchetta Di Popolino,popolino,13
Caparezza - La Marchetta Di Popolino,è,17
Caparezza - La Marchetta Di Popolino,quant,12
Caparezza - La Mia Parte Intollerante (Boosta Remix),trovo,13
Caparezza - La Mia Parte Intollerante (Boosta Remix),molto,13
Caparezza - La Mia Parte Intollerante (Boosta Remix),interessante,13
Caparezza - La Mia Parte Intollerante (Boosta Remix),la,14
Caparezza - La Mia Parte Intollerante (Boosta Remix),mia,14
Caparezza - La Mia Parte Intollerante (Boosta Remix),parte,14
Caparezza - La Mia Parte Intollerante (Boosta Remix),intollerante,14
Caparezza - La Mia Parte Intollerante,di,13
Caparezza - La Mia Parte Intollerante,che,25
Caparezza - La Mia Parte Intollerante,mi,11
Caparezza - La rivoluzione del sessintutto,di,11
Caparezza - La rivoluzione del sessintutto,in,17
Caparezza - La rivoluzione del sessintutto,la,11
Caparezza - La rivoluzione del sessintutto,68,12
Caparezza - La rivoluzione del sessintutto,sesso,12
Caparezza - La rivoluzione del sessintutto,tutto,12
Caparezza - La scelta,la,18
Caparezza - La scelta,un,15
Caparezza - La scelta,è,13
Caparezza - La scelta,e,12
Caparezza - La scelta,mia,11
Caparezza - La scelta,non,12
Caparezza - La scelta,patetica,12
Caparezza - La scelta,eroica,12
Caparezza - Larsen,l,20
Caparezza - Larsen,alla,12
Caparezza - Larsen,fino,11
Caparezza - Larsen,fine,11
Caparezza - Legalize The Premier (feat. Alborosie),legalize,43
Caparezza - Legalize The Premier (feat. Alborosie),lega,26
Caparezza - Legalize The Premier (feat. Alborosie),him,26
Caparezza - Legalize The Premier (feat. Alborosie),tell,37
Caparezza - Legalize The Premier (feat. Alborosie),you,36
Caparezza - Legalize The Premier (feat. Alborosie),me,48
Caparezza - Legalize The Premier (feat. Alborosie),a,34
Caparezza - Legalize The Premier (feat. Alborosie),e,11
Caparezza - Legalize The Premier (feat. Alborosie),mi,11
Caparezza - Legalize The Premier (feat. Alborosie),the,15
Caparezza - Limiti,e,25
Caparezza - Limiti,poi,19
Caparezza - Limiti,che,15
Caparezza - Limiti,mai,45
Caparezza - Limiti,riproverò,12
Caparezza - Mammamiamamma,che,15
Caparezza - Mammamiamamma,e,13
Caparezza - Mammamiamamma,la,14
Caparezza - Mammamiamamma,di,11
Caparezza - Mammamiamamma,il,12
Caparezza - Mammamiamamma,mamma,44
Caparezza - Mammamiamamma,o,14
Caparezza - Mammamiamamma,mammamia,28
Caparezza - Marchetta di Popolino,ma,11
Caparezza - Marchetta di Popolino,figo,13
Caparezza - Marchetta di Popolino,sto,13
Caparezza - Marchetta di Popolino,popolino,13
Caparezza - Marchetta di Popolino,è,17
Caparezza - Marchetta di Popolino,quant,12
Caparezza - Mea Culpa,mea,27
Caparezza - Mea Culpa,culpa,27
Caparezza - Mea Culpa,ahimè,12
Caparezza - Messa In Moto,una,17
Caparezza - Messa In Moto,che,16
Caparezza - Messa In Moto,messa,13
Caparezza - Messa In Moto,in,14
Caparezza - Messa In Moto,moto,14
Caparezza - Mi è impossibile,oh,11
Caparezza - Mi è impossibile,senza,20
Caparezza - Mi è impossibile,mi,26
Caparezza - Mi è impossibile,che,14
Caparezza - Mi è impossibile,te,20
Caparezza - Mi è impossibile,la,13
Caparezza - Mi è impossibile,è,20
Caparezza - Mi è impossibile,impossibile,22
Caparezza - Mica Van Gogh,di,13
Caparezza - Mica Van Gogh,pazzo,17
Caparezza - Mica Van Gogh,van,39
Caparezza - Mica Van Gogh,gogh,39
Caparezza - Mica Van Gogh,lui,13
Caparezza - Mica Van Gogh,tu,40
Caparezza - Mica Van Gogh,mica,35
Caparezza - Mica Van Gogh,sei,17
Caparezza - Migliora La Tua Memoria Con Un Click (feat. Max Gazzè),di,23
Caparezza - Migliora La Tua Memoria Con Un Click (feat. Max Gazzè),non,20
Caparezza - Migliora La Tua Memoria Con Un Click (feat. Max Gazzè),e,12
Caparezza - Migliora La Tua Memoria Con Un Click (feat. Max Gazzè),la,20
Caparezza - Migliora La Tua Memoria Con Un Click (feat. Max Gazzè),che,11
Caparezza - Migliora La Tua Memoria Con Un Click (feat. Max Gazzè),un,15
Caparezza - Migliora La Tua Memoria Con Un Click (feat. Max Gazzè),ma,13
Caparezza - Migliora La Tua Memoria Con Un Click (feat. Max Gazzè),è,11
Caparezza - Minimoog (feat. John De Leo),i,11
Caparezza - Nel paese dei balordi,e,13
Caparezza - Nel paese dei balordi,di,16
Caparezza - Nel paese dei balordi,la,14
Caparezza - Nel paese dei balordi,un,24
Caparezza - Nessuna razza,che,19
Caparezza - Nessuna razza,razza,13
Caparezza - Nessuna razza,non,11
Caparezza - Nessuna razza,di,16
Caparezza - Nessuna razza,a,11
Caparezza - Nessuna razza,un,18
Caparezza - Nessuna razza,nessuna,12
Caparezza - Ninna nanna di mazzaro,non,12
Caparezza - Ninna nanna di mazzaro,che,23
Caparezza - Ninna nanna di mazzaro,un,11
Caparezza - Ninna nanna di mazzaro,di,39
Caparezza - Ninna nanna di mazzaro,chi,14
Caparezza - Ninna nanna di mazzaro,mazzarò,31
Caparezza - Ninna nanna di mazzaro,la,11
Caparezza - Ninna nanna di mazzaro,il,13
Caparezza - Ninna nanna di mazzaro,ninna,12
Caparezza - Non me lo posso permettere,e,11
Caparezza - Non me lo posso permettere,non,29
Caparezza - Non me lo posso permettere,me,24
Caparezza - Non me lo posso permettere,lo,24
Caparezza - Non me lo posso permettere,posso,25
Caparezza - Non me lo posso permettere,permettere,24
Caparezza - Non me lo posso permettere,di,11
Caparezza - Non mettere le mani in tasca,è,11
Caparezza - Non mettere le mani in tasca,tasca,41
Caparezza - Non mettere le mani in tasca,in,49
Caparezza - Non mettere le mani in tasca,di,12
Caparezza - Non mettere le mani in tasca,le,39
Caparezza - Non mettere le mani in tasca,mani,37
Caparezza - Non mettere le mani in tasca,tu,13
Caparezza - Non Siete Stato Voi,non,34
Caparezza - Non Siete Stato Voi,siete,31
Caparezza - Non Siete Stato Voi,stato,33
Caparezza - Non Siete Stato Voi,voi,32
Caparezza - Non Siete Stato Voi,che,22
Caparezza - Non Siete Stato Voi,di,16
Caparezza - Pimpami la storia,bella,16
Caparezza - Pimpami la storia,prof,21
Caparezza - Pimpami la storia,che,20
Caparezza - Pimpami la storia,la,26
Caparezza - Pimpami la storia,è,12
Caparezza - Pimpami la storia,storia,31
Caparezza - Pimpami la storia,pimpami,12
Caparezza - Pimpami la storia,di,14
Caparezza - Prisoner 709,seven,25
Caparezza - Prisoner 709,nine,25
Caparezza - Prisoner 709,o,25
Caparezza - Prisoner 709,di,11
Caparezza - Prisoner 709,non,18
Caparezza - Prisoner 709,la,13
Caparezza - Prosopagno Sia!,i,14
Caparezza - Prosopagno Sia!,don,12
Caparezza - Prosopagno Sia!,t,12
Caparezza - Prosopagno Sia!,recognise,12
Caparezza - Prosopagno Sia!,it,12
Caparezza - Prosopagnosia (feat. John De Leo),i,30
Caparezza - Prosopagnosia (feat. John De Leo),non,15
Caparezza - Prosopagnosia (feat. John De Leo),don,22
Caparezza - Prosopagnosia (feat. John De Leo),t,22
Caparezza - Prosopagnosia (feat. John De Leo),recognize,24
Caparezza - Prosopagnosia (feat. John De Leo),it,24
Caparezza - Sfogati,sfogati,30
Caparezza - Sfogati,con,19
Caparezza - Sfogati,me,19
Caparezza - Sogno Di Potere,la,13
Caparezza - Sogno Di Potere,come,11
Caparezza - Sogno Di Potere,il,11
Caparezza - Sogno Di Potere,di,15
Caparezza - Sogno Di Potere,via,12
Caparezza - Sono Il Tuo Sogno Eretico,sono,22
Caparezza - Sono Il Tuo Sogno Eretico,che,12
Caparezza - Sono Il Tuo Sogno Eretico,la,15
Caparezza - Sono Il Tuo Sogno Eretico,non,12
Caparezza - Sono Il Tuo Sogno Eretico,mi,15
Caparezza - Sono Il Tuo Sogno Eretico,in,11
Caparezza - Sono Il Tuo Sogno Eretico,il,21
Caparezza - Sono Il Tuo Sogno Eretico,tuo,16
